Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sobti, Anupam; Revankar, Sneha; Kamal, Kushal; ",Multiple mode testing in a vector memory restricted test environment,,,,,2017,Google Patents
"Sobti, Anupam; Arora, Chetan; Balakrishnan, M; ",Object detection in real-time systems: Going beyond precision,2018 IEEE winter conference on applications of computer vision (WACV),,,1020-1028,2018,IEEE
"Kedia, Rajesh; Sobti, Anupam; Rungta, Mukund; Chandoliya, Sarvesh; Soni, Akhil; Meena, Anil Kumar; Lobo, Chrystle Myrna; Verma, Richa; Balakrishnan, M; Arora, Chetan; ",MAVI: Mobility Assistant for Visually Impaired with Optional Use of Local and Cloud Resources.,VLSID,,,227-232,2019,
"Sobti, Anupam; Balakrishnan, M; Arora, Chetan; ",Multi-sensor energy efficient obstacle detection,2019 22nd Euromicro Conference on Digital System Design (DSD),,,19-26,2019,IEEE
"Sobti, Anupam; Mavi, Vaibhav; Balakrishnan, M; Arora, Chetan; ",VmAP: a fair metric for video object detection,Proceedings of the 29th ACM International Conference on Multimedia,,,2224-2232,2021,
"Roy, Millend; Nambi, Akshay; Sobti, Anupam; Ganu, Tanuja; Kalyanaraman, Shivkumar; Akella, Shankar; Devi, Jaya Subha; Sundaresan, SA; ",Reliable energy consumption modeling for an electric vehicle fleet,Proceedings of the 5th ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,,,29-44,2022,
"Gupta, Tanmaey; Sobti, Anupam; Nambi, Akshay; ",PressureML: Modelling Pressure Waves to Generate Large-Scale Water-Usage Insights in Buildings,"Proceedings of the 10th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,463-467,2023,
"Shikhar, Sambal; Sobti, Anupam; ",Label-free anomaly detection in aerial agricultural images with masked image modeling,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,,5440-5449,2024,IEEE
"Lalwani, Varchita; Sobti, Anupam; Garg, Vishal; ",What’s Up On The Roof: Tracking Cool Roofs in India with Satellite Imaging,ACM Journal on Computing and Sustainable Societies,2,4,1-26,2024,"ACM New York, NY"
"Shikhar, Sambal; Ranjan, Rajiv; Sa, Aman; Srivastava, Anshika; Srivastava, Yash; Kumar, Dinesh; Tamaskar, Shashank; Sobti, Anupam; ",Evaluation of computer vision pipeline for farm-level analytics: A case study in sugarcane,Proceedings of the 7th ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,,,238-247,2024,
"Roy, Millend; Balloli, Vaibhav; Sobti, Anupam; Iyengar, Srinivasan; Kalyanaraman, Shivkumar; Ganu, Tanuja; Nambi, Akshay; ","EnCortex: A General, Extensible and Scalable Framework for Decision Management in New-age Energy Systems",arXiv preprint arXiv:2503.06959,,,,2025,
"Kumar, Yogendra; Sobti, Anupam; ",Geospatial Active Learning for Efficient Data Annotation: A case study on cool roof detection,Proceedings of the ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,,,585-596,2025,
"Gupta, Moti Rattan; Sobti, Anupam; ",Time2Agri: Temporal Pretext Tasks for Agricultural Monitoring,Proceedings of the AAAI Conference on Artificial Intelligence,40,45,38533-38541,2026,
"Lalwani, Varchita; Agarwal, Utkarsh; Saugstad, Michael; Kumar, Manish; Froehlich, Jon E; Sobti, Anupam; ",Towards Human-AI Accessibility Mapping in India: VLM-Guided Annotations and POI-Centric Analysis in Chandigarh,arXiv preprint arXiv:2602.09216,,,,2026,
"Gupta, Moti Rattan; Sobti, Anupam; ",SAR2Agri: Learning SAR Intensity Representations for Agricultural Monitoring,arXiv preprint arXiv:2608.11142,,,,2026,
